Open Gender-Term,"ISO 25964-2 (MARC 7XX-$4)

",GND-Term ,GND Identifier,Synonyme 
Ableismus,=EQ,Ableismus,1276051255,
Abtreibungsdebatte,,,,
Abtreibungsgegner,,,,
Abtreibungsverbot,,,,
Adoption,=EQ,Adoption,4000522-7,
Affekt,=EQ,Affekt,4135470-9,
Agency,EQ,Handlungskompetenz ,4125926-9,Handlungskompetenz 
AIDS,=EQ,Aids,4112470-4,
Aktivismus,=EQ,Aktivismus,4000973-7,
Alleinerziehende,EQ,Alleinerziehende Mutter,4001238-4,
Alleinlebende,EQ,Alleinstehender,4001240-2,
Allgemeines Gleichbehandlungsgesetz,=EQ,Allgemeines Gleichbehandlungsgesetz,7542750-3,
Alltag,=EQ,Alltag,4001307-8,
Alter,=EQ,Alter,4001446-0,
Alterssicherung,~EQ,Altersversorgung ,4001479-4,Altersversorgung 
Androgynie,BM,Androgynie <Psychologie>,4001967-6,
Androzentrismus,=EQ,Androzentrismus,1223001903,
Anerkennung,=EQ,Anerkennung,4128520-7,
Antidiskriminierung,,,1035294273,
Antifaschismus,=EQ,Antifaschismus,4122803-0,
Antifeminismus,EQ|,Frauenfeindlichkeit,4155231-3,Frauenfeindlichkeit 
Antirassismus,=EQ,Antirassismus,4275311-9,
Antisemitismus,=EQ,Antisemitismus,1235847462,
Antiziganismus,=EQ,Antiziganismus,4808992-8,
Arbeit,=EQ,Arbeit,1136593101,
Arbeitskampf,=EQ,Arbeitskampf,4002702-8,
Arbeitsmarkt,=EQ,Arbeitsmarkt,4002733-8,
Arbeitsteilung,=EQ,Arbeitsteilung,4002787-9,
Arbeitsverhältnis,=EQ,Arbeitsverhältnis,4002799-5,
Architektur,=EQ,Architektur,4002851-3,
Armut,=EQ,Armut,1234066785,
Ästhetik,=EQ,Ästhetik,1207079987,
Asyl,=EQ,Asyl,4143260-5,
Ausbeutung,=EQ,Ausbeutung,4003677-7,
Ausbildung,=EQ,Ausbildung,4112628-2,
Autonomie,=EQ,Autonomie,1067437622,
Begehren,=EQ,Begehren,300735928,
Behinderung,=EQ,Behinderung,4112696-8,
Beratung,=EQ,Beratung,4005565-6,
Beruf,=EQ,Beruf,4005857-8,
Berufstätigkeit,=EQ,Berufstätigkeit,4069349-1,
Berufsverbot,=EQ,Berufsverbot,4005959-5,
Berufswahl,=EQ,Berufswahl,4005962-5,
Beschneidung,EQ|,Beschneidung <Frau> oder Beschneidung <Mann>,7648122-0 oder 4144874-1,Beschneidung <Mann>
Bevölkerung,=EQ,Bevölkerung,4006287-9,
Bewusstsein,=EQ,Bewusstsein,4006349-5,
Beziehung,=EQ,Beziehung,4145198-3,
Bildung,=EQ,Bildung,1085646750,
Bildungsarbeit,=EQ,Bildungsarbeit,4112760-2,
Bildungssystem,=EQ,Bildungssystem,4069467-7,
Biografieforschung,=EQ,Biografieforschung,4132300-2,
Biologie,=EQ,Biologie,4006851-1,
Biologismus,=EQ,Biologismus,4232000-8,
Biopolitik,=EQ,Biopolitik,4137810-6,
Bisexualität,=EQ,Bisexualität,4006963-1,
Care,=EQ,Care,4648135-7,
Chancengleichheit,=EQ,Chancengleichheit,4009736-5,
Christentum,=EQ,Christentum,4010074-1,
Coming-out,=EQ,Coming-out,4300693-0,
Computerspiel,=EQ,Computerspiel,4010457-6,
Cross-dressing,EQ,Crossdressing,1103153943,
Cyborg,=EQ,Cyborg,4786457-6,
DDR,EQ,Deutschland (DDR),4011890-3,
Debatte,=EQ,Debatte,4148952-4,
Dekonstruktion,=EQ,Dekonstruktion,4149032-0,
Demografie,=EQ,Demographie,4011412-0,
Demokratie,=EQ,Demokratie,4011413-2,
Depression,=EQ,Depression,4011474-0,
Diaspora,=EQ,Diaspora,1231305827,
Dichotomie,=EQ,Dichotomie,300727208,
Dienstleistungssektor,=EQ,Dienstleistungssektor,4012183-5,
Digitalisierung,=EQ,Digitalisierung,4123065-6,
Diskriminierung,=EQ,Diskriminierung,4012472-1,
Diskurs,=EQ,Diskurs,300471955,
Disziplinarität,,,,
Diversität,RM,Heterogenität,4201275-2,Heterogenität
Diversity Management,=EQ,Diversity Management,7611361-9,
Doing Gender,,,,
Drag,=EQ,Drag,1176239244,
Ehe,=EQ,Ehe,4013630-9,
Ehegattensplitting,=EQ,Ehegattensplitting,7503178-4,
Ehrenamt,=EQ,Ehrenamt,4121161-3,
Eigentum,=EQ,Eigentum,4013793-4,
Einkommen,=EQ,Einkommen,4013887-2,
Eltern,=EQ,Eltern,4014516-5,
Elternschaft,=EQ,Elternschaft,4152054-3,
Emanzipation,=EQ,Emanzipation,4130667-3,
Entwicklung,=EQ,Entwicklung,1171380917,
Entwicklungszusammenarbeit,=EQ,Entwicklungszusammenarbeit,4198756-1,
Epistemologie,BM,Genetische Epistemologie,4135354-7,
Erfahrung,=EQ,Erfahrung,1239135211,
Erinnerungskultur,,,,
Ernährung,=EQ,Ernährung,4015332-0,
Erotik,=EQ,Erotik,4015369-1,
Erwachsenenbildung,=EQ,Erwachsenenbildung,4015428-2,
Erwerbsarbeit,EQ,Arbeit,4002567-6,
Erwerbslosigkeit,EQ,Arbeitslosigkeit ,4002730-2,Arbeitslosigkeit 
Erwerbstätigkeit,EQ,Berufstätigkeit,4069349-1,
Erziehung,=EQ,Erziehung,4015482-8,
Essentialismus,=EQ,Essentialismus,4113474-6,
Essstörung,=EQ,Essstörung,4113475-8,
Ethik,=EQ,Ethik,1088045626,
Ethnizität,=EQ,Ethnizität,4220764-2,
Ethnozentrismus,=EQ,Ethnozentrismus,4070982-6,
Europäische Union,=EQ,Europäische Union,5098525-5,
Eurozentrismus,=EQ,Eurozentrismus,4200132-8,
Exil,=EQ,Exil,1026311314,
Familie,=EQ,Familie,123631333X,
Familienbild,=EQ,Familienbild,1103153382,
Familienform,,,,
Familienpolitik,=EQ,Familienpolitik,4016418-4,
Faschismus,=EQ,Faschismus,4016494-9,
Female Genital Cutting,,,,
Female Genital Mutilation,,,,
Feminisierung,=EQ,Feminisierung,4397368-1,
Feminismus,=EQ,Feminismus,4222126-2,
Faschismus,,,,
Film,=EQ,Film ,4017102-4,
Flucht,=EQ,Flucht,1274267641,
Frauen,=EQ,Frauen,1142536149,
Frauen in Führungspositionen,,,,
Frauenanteil,NM,Geschlechterverhältnis <Demographie>,4243608-4,Geschlechterverhältnis <Demographie>
Frauenbeauftragte,,,,
Frauenberuf,=EQ,Frauenberuf,1201699207,
Frauenbewegung,=EQ,Frauenbewegung,4071428-7,
Frauenbild,=EQ,Frauenbild,4125057-6,
Frauenfeindlichkeit,=EQ,Frauenfeindlichkeit,4155231-3,
Frauenförderung,=EQ,Frauenförderung,4226107-7,
Frauenforschung,=EQ,Frauenforschung,4244891-8,
Frauengeschichte,,,,
Frauenhaus,=EQ,Frauenhaus,4155233-7,
Frauenorganisation,EQ,Frauenverband ,4155246-5,Frauenverband 
Frauenpolitik,=EQ,Frauenpolitik,4113623-8,
Frauenrechte,,,,
Frauenstudium,=EQ,Frauenstudium,4129623-0,
Frauenuniversität,=EQ,Frauenuniversität,4470659-5,
Frauenwahlrecht,=EQ,Frauenwahlrecht,120484805X,
Freundschaft,=EQ,Freundschaft,4018480-8,
Fundamentalismus,=EQ,Fundamentalismus,4137178-1,
Geburtenkontrolle,~EQ,Geburtenregelung ,4019593-4,Geburtenregelung 
Gefühl,=EQ,Gefühl,4019702-5,
Gender,,,,
Gender Bias,,,,
Gender Budgeting,,,,
Gender Mainstreaming,=EQ,Gender Mainstreaming,4845903-3,
Gender Pay Gap,=EQ,Gender Pay Gap,1314965875,
Genderkompetenz,,,,
Generation,=EQ,Generation,4259035-8,
Genetik,=EQ,Genetik,4071711-2,
Genozid,EQ,Völkermord ,4063690-2,Völkermord 
Gentechnologie,=EQ,Gentechnologie,4071722-7,
Gerechtigkeit,=EQ,Gerechtigkeit,4020310-4,
Geschichte,=EQ,Geschichte,4020517-4,
Geschlecht,=EQ,Geschlecht,4020547-2,
Geschlechterbild,,,,
Geschlechterdifferenz,EQ,Geschlechterunterschied ,4071781-1,Geschlechterunterschied 
Geschlechterforschung,=EQ,Geschlechterforschung,4482930-9,
Geschlechtergerechte Sprache,=EQ,Geschlechtergerechte Sprache,1186727241,
Geschlechterkonstruktion,,,,
Geschlechterordnung,,,,
Geschlechterrolle,=EQ,Geschlechterrolle,4071776-8,
Geschlechterstereotyp,=EQ,Geschlechterstereotyp,4157010-8,
Geschlechterverhältnis,=EQ,Geschlechterverhältnis,4020548-4,
Geschlechtsidentität,=EQ,Geschlechtsidentität,4181116-1,
Geschlechtsspezifik,,,,
Gesellschaft,=EQ,Gesellschaft,4020588-5,
Gesellschaftstheorie,RM,Soziologische Theorie ,4077628-1,Soziologische Theorie 
Gesetz,=EQ,Gesetz,4020660-9,
Gesundheit,=EQ,Gesundheit,4020754-7,
Gewalt,=EQ,Gewalt ,4020832-1,
Gewalt gegen Frauen,=EQ,Gewalt gegen Frauen ,7505777-3,
Gewerkschaft,=EQ,Gewerkschaft,4020872-2,
Gleichberechtigung,=EQ,Gleichberechtigung,4021216-6,
Gleichheit,=EQ,Gleichheit,4021231-2,
Gleichstellungsbeauftragte,=EQ,Gleichstellungsbeauftragte,4125418-1,
Gleichstellungspolitik,NM	,Geschlechterpolitik ,4556952-6,
Globalisierung,=EQ,Globalisierung,4557997-0,
Habitus,=EQ,Habitus,1162075538,
Haft,=EQ,Haft,4327862-0,
Hass,=EQ,Haß,1117937836,
Hausarbeit,=EQ,Hausarbeit,4023699-7,
Hausfrau,=EQ,Hausfrau,4023733-3,
Hegemonie,=EQ,Hegemonie,4023979-2,
Heimat,=EQ,Heimat,1227062958,
Hermaphroditismus,=EQ,Hermaphroditismus,4117739-3,
Herrschaft,=EQ,Herrschaft,1310677700,
Heterogenität,=EQ,Heterogenität,4201275-2,
Heteronormativität,=EQ,Heteronormativität,1227961537,
Heterosexualität,=EQ,Heterosexualität,4159748-5,
Heterosexuelle Matrix,,,,
Hierarchie,=EQ,Hierarchie,4024842-2,
Hirnforschung,=EQ,Hirnforschung,4123382-7,
HIV,=EQ,HIV,4200792-6,
Hochschule,=EQ,Hochschule,4072560-1,
Homofeindlichkeit,EQ,Homophobie ,4688835-4,Homophobie 
Homosexualität,=EQ,Homosexualität,4025798-8,
Identität,=EQ,Identität,4026482-8,
Ideologie,=EQ,Ideologie,4026486-5,
Individualisierung,=EQ,Individualisierung,4161542-6,
Individuum,=EQ,Individuum,4026751-9,
Industrie,=EQ,Industrie,4026779-9,
Informatik,=EQ,Informätik,10322792-1,
Inklusion,BM,Inklusion <Soziologie>,4696474-5,
Institution,BM,Institution <Soziologie>,4027207-2,
Institutionalisierung,=EQ,Institutionalisierung,4127678-4,
Integration,=EQ,Integration,1072506661,
Interdependenz,=EQ,Interdependenz,4114036-9,
Interdisziplinarität,=EQ,Interdisziplinarität,4449808-1,
Interkulturalität,=EQ,Interkulturalität,4519498-1,
Internet,=EQ,Internet,1186913827,
Intersektionalität,=EQ,Intersektionalität,7729679-5,
Intersexualität,=EQ,Intersexualität,4027484-6,
Intervention,=EQ,Intervention,1180525124,
Intimität,=EQ,Intimsphäre ,4072909-6,
Islam,=EQ,Islam,4027743-4,
Judentum,=EQ,Judentum,4114087-4,
Jugend,=EQ,Jugend,4028859-6,
Jugendliche,NM,Jugend ,4028859-6,Jugend
Jungen,EQ,Junge ,4029002-5,Junge 
Jungenarbeit,=EQ,Jungenarbeit,7506212-4,
Kapitalismus,=EQ,Kapitalismus,4029577-1,
Karriere,=EQ,Karriere,4073274-5,
Kinder,=EQ,Kinder,1219024597,
Kinderbetreuung,=EQ,Kinderbetreuung,4278357-4,
Kindheit,=EQ,Kindheit,112666958X,
Kirche,=EQ,Kirche,4030702-5,
Klasse,=EQ,Klasse,1228896208,
Kleidung,=EQ,Kleidung,4031011-5,
Koedukation,=EQ,Koedukation,4031467-4,
Kolonialismus,=EQ,Kolonialismus,4073624-6,
Kommunikation,=EQ,Kommunikation,300621787,
Konflikt,=EQ,Konflikt,1138451614,
Konstruktivismus,BM,Konstruktivismus <Psychologie>,4639653-6,
Konsum,EQ,Verbrauch ,4078777-1,Verbrauch 
Konzentrationslager,=EQ,Konzentrationslager,4032352-3,
Kopftuch,=EQ,Kopftuch,4195492-0,
Körper,=EQ,Körper,4031575-7,
Krankenpflege,=EQ,Krankenpflege,4032813-2,
Krankheit,=EQ,Krankheit,1235355772,
Krieg,=EQ,Krieg,4033114-3,
Kriminalität,=EQ,Kriminalität,4033178-7,
Krise,=EQ,Krise,1310230021,
Kritik,=EQ,Kritik,4033229-9,
Kritische Theorie,=EQ,Kritische Theorie,4073840-1,
Kultur,=EQ,Kultur,4125698-0,
Kunst,=EQ,Kunst,1274253799,
Landwirtschaft,=EQ,Landwirtschaft,4034402-2,
Lebensbedingungen,=EQ,Lebensbedingungen,4130642-9,
Lebensform,=EQ,Lebensform,4034863-5,
Lebensgemeinschaft,=EQ,Lebensgemeinschaft,4167021-8,
Lebenspartnerschaft,EQ,Eingetragene Lebenspartnerschaft,4648252-0,
Lehre,=EQ,Lehre,7573711-5,
Leib,=EQ,Leib,1225568218,
Lesben,EQ,Lesbe ,4035430-1,Lesbe 
Lesbenbewegung,,,,
Liberalismus,=EQ,Liberalismus,4035582-2,
Liebe,=EQ,Liebe,1228569932,
Literatur,=EQ,Literatur,1248794494,
Lohn,=EQ,Lohn,2018391-4,
LSBTIQ,,,,
Macht,=EQ,Macht,1123508909,
Mädchen,=EQ,Mädchen,1262354552,
Mädchenarbeit,=EQ,Mädchenarbeit,7506089-9,
Männer,=EQ,Männer,1189215802,
Männerbild,=EQ,Männerbild,4139085-4,
Männerbund,=EQ,Männerbund,4168466-7,
Männlichkeit,=EQ,Männlichkeit,4123701-8,
Marginalisierung,,,,
Mathematik,=EQ,Mathematik ,4037944-9,
Matriarchat,=EQ,Matriarchat,4037966-8,
Medien,=EQ,Medien,4169187-8,
Medizin,=EQ,Medizin,4038243-6,
Menschenbild,=EQ,Menschenbild,4074722-0,
Menschenhandel,=EQ,Menschenhandel,4125897-6,
Menschenrechte,=EQ,Menschenrechte,300689543,
Migration,=EQ,Migration,300752466,
Milieu,=EQ,Milieu,4074798-0,
Militär,=EQ,Militär,4039305-7,
Minderheit,=EQ,Minderheit,4752223-9,
MINT,=EQ,MINT,1065095619,
Misshandlung,=EQ,Misshandlung,4170137-9,
Mobilität,=EQ,Mobilität,4039785-3,
Mode,=EQ,Mode,4039792-0,
Moderne,=EQ,Moderne,4039827-4,
Moral,=EQ,Moral,1276103034,
Musik,=EQ,Musik,125914528X,
Mütter,=EQ,Mutter,4040949-1,
Mutterbild,=EQ,Mutterbild,4170889-1,
Mütterlichkeit,~EQ,Das \@Mütterliche,4131108-5,Das \@Mütterliche
Mutterschaft,=EQ,Mutterschaft,4140725-8,
Mythos,=EQ,Mythos,4075159-4,
Nachhaltigkeit,=EQ,Nachhaltigkeit,4326464-5,
Nationalismus,=EQ,Nationalismus,4041300-7,
Nationalsozialismus,=EQ,Nationalsozialismus,4041316-0,
Nationalstaat,=EQ,Nationalstaat,4041331-7,
Natur,=EQ,Natur,1255124717,
Neoliberalismus,=EQ,Neoliberalismus,4171438-6,
Netzwerk,=EQ,Netzwerk,300131852,
Nichtregierungsorganisation,EQ+,Nichtstaatliche Organisation ,4131014-7,Nichtstaatliche Organisation 
Normen,=EQ,Normen,1168177278,
Objektivität,=EQ,Objektivität,4172310-7,
Öffentlichkeit,=EQ,Öffentlichkeit,4043183-6,
Ökologie,=EQ,Ökologie,4043207-5,
Ontologie,=EQ,Ontologie,1130186792,
Opfer,=EQ,Opfer,4434480-6,
Organisation,=EQ,Organisation,4043774-7,
Pädagogik,=EQ,Pädagogik,4044302-4,
Partizipation,=EQ,Partizipation,4044789-3,
Patriarchat,=EQ,Patriarchat,4044914-2,
People of Color,EQ,Person of Color,4034855-6,
Performativität,BM,Performativität <Kulturwissenschaften>,7651115-7,
Philosophie,=EQ,Philosophie,4045791-6,
Physik,=EQ,Physik,4045956-1,
Politik,=EQ,Politik,4046514-7,
Pornografie,=EQ,Pornografie,4046809-4,
Postkoloniale Theorie,,,,
Postkolonialismus,=EQ,Postkolonialismus,4566658-1,
Postmoderne,=EQ,Postmoderne,4115604-3,
Poststrukturalismus,=EQ,Poststrukturalismus,4137176-8,
Prävention,=EQ,Prävention,4076308-0,
Prekarisierung,=EQ,Prekarisierung,128564378X,
Presse,=EQ,Presse,4047150-0,
Privatheit,=EQ,Privatheit,4195103-7,
Professionalisierung,=EQ,Professionalisierung,4047376-4,
Prostitution,=EQ,Prostitution,4047516-5,
Psychiatrie,=EQ,Psychiatrie,108057249X,
Psychoanalyse,=EQ,Psychoanalyse,4047689-3,
Pubertät,=EQ,Pubertät,4047762-9,
Qualifikation,=EQ,Qualifikation,4125835-6,
Queer,=EQ,Queer,1198894873,
Queer Theory,EQ,Queer-Theorie,7628620-4,
Rassismus,=EQ,Rassismus,4076527-1,
Raum,=EQ,Raum,1061812227,
Recht,=EQ,Recht,1190300982,
Rechtsextremismus,,,,
Reisen,=EQ,Reisen,1079282084,
Religion,=EQ,Religion,4049396-9,
Repräsentation,=EQ,Repräsentation,4137492-7,
Reproduktion,=EQ,Reproduktion,4115749-7,
Reproduktionstechnologie,~EQ,Reproduktionsmedizin ,4197011-1,Reproduktionsmedizin 
Säkularismus,=EQ,Säkularismus,4463409-2,
Scham,=EQ,Scham,1261599608,
Scheidung,=EQ,Scheidung,1140154451,
Schule,=EQ,Schule,4053474-1,
Schwangerschaft,=EQ,Schwangerschaft,4053724-9,
Schwangerschaftsabbruch,=EQ,Schwangerschaftsabbruch,4053732-8,
Schwarze Deutsche,,,,
Schwule,EQ+,Homosexuelles Paar,4120463-3,Homosexuelles Paar
Schwulenbewegung,EQ,Homosexuellenbewegung,4140613-8,
Selbstständigkeit,=EQ,Selbstständigkeit,4137544-0,
Sexarbeit,EQ,Prostitution ,4047516-5,Prostitution 
Sex-Gender-Debatte,,,,
Sexismus,=EQ,Sexismus,4116483-0,
Sexualisierte Gewalt,=EQ,Sexualisierte Gewalt,1253967660,
Sexualität,=EQ,Sexualität,4054684-6,
Sexuelle Belästigung,=EQ,Sexuelle Belästigung,4238118-6,
Shoah,EQ,Judenvernichtung ,4073091-8,Judenvernichtung 
Sklaverei,=EQ,Sklaverei,4055260-3,
Solidarität,=EQ,Solidarität,4055429-6,
Sorgearbeit,EQ,Care-Arbeit ,1163689106,Care-Arbeit 
Sozialarbeit,=EQ,Sozialarbeit,4055676-1,
Soziale Arbeit,EQ,Studiengang Soziale Arbeit,7697887-4,
Soziale Bewegung,=EQ,Soziale Bewegung,4055707-8,
Soziale Lage,EQ,Soziale Situation ,4077575-6,Soziale Situation 
Soziale Medien,EQ,Social Media ,4639271-3,Social Media 
Soziale Ungleichheit,=EQ,Soziale Ungleichheit,4055736-4,
Sozialisation,=EQ,Sozialisation,4055783-2,
Sozialismus,=EQ,Sozialismus,4055785-6,
Sozialleistung,=EQ,Sozialleistungen ,4055856-3,
Sozialpolitik,=EQ,Sozialpolitik,4055879-4,
Sozialstruktur,=EQ,Sozialstruktur,4055898-8,
Spiel,=EQ,Spiel,300550596,
Spiritualität,=EQ,Spiritualität,4116568-8,
Sport,=EQ,Sport,1057991643,
Sprache,=EQ,Sprache,1268136476,
Staat,=EQ,Staat,4056618-3,
Stadt,=EQ,Stadt,4056723-0,
Stigmatisierung,=EQ,Stigmatisierung,4057561-5,
Strukturalismus,=EQ,Strukturalismus,4058129-9,
Subjekt,BM,Subjekt <Philosophie>,4183903-1,
Subjektivierung,BM,Subjektivierung <Linguistik>,4747204-2,
Subjektivität,=EQ,Subjektivität,4058323-5,
Sucht,=EQ,Sucht,4058361-2,
Tabu,=EQ,Tabu,1132272548,
Täter,=EQ,Täter,4058881-6,
Täterin,=EQ,Täterin,4065027-3,
Technik,=EQ,Technik,4059205-4,
Technologie,=EQ,Technologie,4059276-5,
Teilzeitarbeit,=EQ,Teilzeitbeschäftigung,4078190-2,
Terrorismus,=EQ,Terrorismus,4059534-1,
Theater,=EQ,Theater,4059702-7,
Theorie,=EQ,Theorie,4059787-8,
Therapie,=EQ,Therapie,4059798-2,
Tier,=EQ,Tier,300839758,
Tod,=EQ,Tod,1092466800,
Trans,=EQ,Trans,300322577,
Transdisziplinarität,=EQ,Transdisziplinarität,4754633-5,
Transformation,=EQ,Transformation,4451062-7,
Transgender,=EQ,Transgender,7619945-9,
Transsexualität,=EQ,Transsexualität,4185937-6,
Umwelt,=EQ,Umwelt,1199664804,
unbezahlte Arbeit,,,,
Undoing Gender,,,,
Universalismus,=EQ,Universalismus,4186917-5,
Universität,=EQ,Universität,4061778-6,
Unternehmen,=EQ,Unternehmen,4061963-1,
Unterricht,=EQ,Unterricht,1252487681,
Utopie,=EQ,Utopie,4041251-9,
Väter,=EQ,Vater,4062386-5,
Vaterschaft,=EQ,Vaterschaft,4187441-9,
Vereinbarkeit,EQ,Kompatibilität,4221530-4,Kompatibilität
Verfolgung,=EQ,Verfolgung,4127664-4,
Vergeschlechtlichung,,,,
Vergewaltigung,=EQ,Vergewaltigung,1119833566,
Verhütung,BM,(Verhütungsring) ,121526982X,(Verhütungsring) 
Verletzbarkeit,=EQ,Verwundbarkeit,4188166-7,Verwundbarkeit
Verschleierung,=EQ,Verschleierung,4353166-0,
Verwaltung,=EQ,Verwaltung,4063317-2,
Verwandtschaft,=EQ,Verwandtschaft,4133957-5,
Virtuelle Realität,=EQ,Virtuelle Realität,4399931-1,
Wandel,=EQ,Wandel,1161346732,
Weiblichkeit,=EQ,Weiblichkeit,4079101-4,
Weiterbildung,=EQ,Weiterbildung,4117622-4,
Werbung,=EQ,Werbung,4065541-6,
Widerstand,=EQ,Widerstand,4079262-6,
Wirtschaft,=EQ,Wirtschaft,4066399-1,
Wissen,=EQ,Wissen,4066559-8,
Wissenschaft,=EQ,Wissenschaft,4066562-8,
Wohlfahrtsstaat,=EQ,Wohlfahrtsstaat,4117641-8,
Wohnen,=EQ,Wohnen,4066749-2,
Xenophobie,=EQ,Fremdenfeindlichkeit,4244141-9,Fremdenfeindlichkeit
Zeit,=EQ,Zeit,4067461-7,
Zuschreibung,=EQ,Zuschreibung,4132036-0,
Zwang,=EQ,Zwang,138580839,